_time,event_action,user,src_ip,dest_ip,host,resource,result,severity
2026-09-01T10:01:00+01:00,account_created,dev.victor,198.51.100.77,192.0.2.20,nova-app01,svc-beacon,success,critical
2026-09-01T10:02:46+01:00,workflow_modified,ci.runner,198.51.100.20,192.0.2.21,nova-app01,approved-maintenance.yml,success,low
2026-09-01T10:05:00+01:00,archive_created,dev.victor,198.51.100.77,192.0.2.20,nova-app01,learner_export.tar.gz,success,high
2026-09-01T10:05:09+01:00,login,admin.lara,198.51.100.20,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:07:14+01:00,login,analyst.qeeyah,198.51.100.12,192.0.2.20,nova-app01,user-session,failure,low
2026-09-01T10:08:00+01:00,outbound_connection,dev.victor,192.0.2.20,203.0.113.50,nova-app01,203.0.113.50:443,success,critical
2026-09-01T10:08:13+01:00,login,admin.lara,198.51.100.10,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:11:00+01:00,backup_stopped,dev.victor,198.51.100.77,192.0.2.40,nova-backup01,daily-learning-backup,success,critical
2026-09-01T10:14:05+01:00,login,dev.auwal,198.51.100.12,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:15:52+01:00,login,dev.auwal,198.51.100.20,192.0.2.20,nova-app01,user-session,failure,low
2026-09-01T10:15:59+01:00,outbound_connection,ci.runner,192.0.2.30,203.0.113.10,nova-ci01,updates.example:443,success,low
2026-09-01T10:19:13+01:00,login,dev.auwal,198.51.100.12,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:19:28+01:00,login,analyst.qeeyah,198.51.100.12,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:22:05+01:00,workflow_modified,ci.runner,198.51.100.12,192.0.2.20,nova-backup01,approved-maintenance.yml,success,low
2026-09-01T10:24:00+01:00,login,analyst.qeeyah,198.51.100.20,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:24:49+01:00,login,analyst.qeeyah,198.51.100.11,192.0.2.20,nova-app01,user-session,failure,low
2026-09-01T10:26:24+01:00,login,dev.auwal,198.51.100.12,192.0.2.40,nova-ci01,developer-account,failure,low
2026-09-01T10:27:57+01:00,outbound_connection,ci.runner,192.0.2.21,203.0.113.10,nova-app01,updates.example:443,success,low
2026-09-01T10:29:09+01:00,token_issued,analyst.qeeyah,198.51.100.12,192.0.2.21,nova-ci01,approved-reporting-token,success,low
2026-09-01T10:29:24+01:00,outbound_connection,analyst.qeeyah,192.0.2.40,203.0.113.10,nova-app01,updates.example:443,success,low
2026-09-01T10:29:54+01:00,token_issued,analyst.qeeyah,198.51.100.21,192.0.2.40,nova-dev01,approved-reporting-token,success,low
2026-09-01T10:31:30+01:00,login,admin.lara,198.51.100.20,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:33:17+01:00,workflow_modified,ci.runner,198.51.100.10,192.0.2.30,nova-dev01,approved-maintenance.yml,success,low
2026-09-01T10:37:32+01:00,outbound_connection,ci.runner,192.0.2.40,203.0.113.10,nova-app01,updates.example:443,success,low
2026-09-01T10:39:09+01:00,login,dev.auwal,198.51.100.12,192.0.2.20,nova-app01,user-session,failure,low
2026-09-01T10:42:49+01:00,login,dev.auwal,198.51.100.10,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:46:05+01:00,outbound_connection,backup.service,192.0.2.30,203.0.113.10,nova-ci01,updates.example:443,success,low
2026-09-01T10:46:42+01:00,token_issued,analyst.qeeyah,198.51.100.21,192.0.2.21,nova-app01,approved-reporting-token,success,low
2026-09-01T10:46:46+01:00,login,analyst.qeeyah,198.51.100.10,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:46:47+01:00,login,admin.lara,198.51.100.12,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:49:51+01:00,login,admin.lara,198.51.100.21,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T10:50:58+01:00,token_issued,analyst.qeeyah,198.51.100.10,192.0.2.30,nova-backup01,approved-reporting-token,success,low
2026-09-01T10:56:58+01:00,login,admin.lara,198.51.100.21,192.0.2.20,nova-app01,user-session,failure,low
2026-09-01T10:57:00+01:00,login,admin.lara,198.51.100.10,192.0.2.20,nova-app01,user-session,success,low
